rowIndex,Name,urlColumn,url,mapId,slug,section,file_all,file_section,status,error
45,North Flatbush Ave BID,Share Url (dark),https://share.livexyz.com/maplist/5b203eecf9dbfe0003200a5d?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b203eecf9dbfe0003200a5d,north-flatbush-ave-bid,,all/5b203eecf9dbfe0003200a5d__north-flatbush-ave-bid.png,,ok,
46,5th Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38507f7787b00017c0e3c?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38507f7787b00017c0e3c,5th-avenue-bid,,all/5ca38507f7787b00017c0e3c__5th-avenue-bid.png,,ok,
47,Atlantic Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3846ff7787b00017c0e06?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3846ff7787b00017c0e06,atlantic-avenue-bid,,all/5ca3846ff7787b00017c0e06__atlantic-avenue-bid.png,,ok,
48,Castle Hill BID,Share Url (dark),https://share.livexyz.com/maplist/64d9937a1ed4e1000180ef5c?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,64d9937a1ed4e1000180ef5c,castle-hill-bid,,all/64d9937a1ed4e1000180ef5c__castle-hill-bid.png,,ok,
49,Columbus Amsterdam BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384bcf7787b00017c0e20?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384bcf7787b00017c0e20,columbus-amsterdam-bid,,all/5ca384bcf7787b00017c0e20__columbus-amsterdam-bid.png,,ok,
50,Flatbush-Nostrand Junction BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38349f7787b00017c0d8b?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38349f7787b00017c0d8b,flatbush-nostrand-junction-bid,,all/5ca38349f7787b00017c0d8b__flatbush-nostrand-junction-bid.png,,ok,
51,FAB Fulton,Share Url (dark),https://share.livexyz.com/maplist/5d5d523ef2510e000107f249?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5d5d523ef2510e000107f249,fab-fulton,,all/5d5d523ef2510e000107f249__fab-fulton.png,,ok,
52,Fulton Mall Improvement Association,Share Url (dark),https://share.livexyz.com/maplist/5b201ee103b7900003eec766?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b201ee103b7900003eec766,fulton-mall-improvement-association,,all/5b201ee103b7900003eec766__fulton-mall-improvement-association.png,,ok,
53,Graham Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383f2f7787b00017c0dce?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383f2f7787b00017c0dce,graham-avenue-bid,,all/5ca383f2f7787b00017c0dce__graham-avenue-bid.png,,ok,
54,Grand Street BID,Share Url (dark),https://share.livexyz.com/maplist/5b8ff68ef7411e0004b836d6?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b8ff68ef7411e0004b836d6,grand-street-bid,,all/5b8ff68ef7411e0004b836d6__grand-street-bid.png,,ok,
55,Gateway JFK BID,Share Url (dark),https://share.livexyz.com/maplist/5ca6659a20eeea00019038e0?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca6659a20eeea00019038e0,gateway-jfk-bid,,all/5ca6659a20eeea00019038e0__gateway-jfk-bid.png,,ok,
56,Hudson Yards/Hell's Kitchen,Share Url (dark),https://share.livexyz.com/maplist/5ca384d0f7787b00017c0e28?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384d0f7787b00017c0e28,hudson-yards-hell-s-kitchen,,all/5ca384d0f7787b00017c0e28__hudson-yards-hell-s-kitchen.png,,ok,
57,Downtown Jamaica Partnership,Share Url (dark),https://share.livexyz.com/maplist/5ca38358f7787b00017c0d95?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38358f7787b00017c0d95,downtown-jamaica-partnership,,all/5ca38358f7787b00017c0d95__downtown-jamaica-partnership.png,,ok,
58,Long Island City,Share Url (dark),https://share.livexyz.com/maplist/5c623ffd0f153c0001d1b556?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5c623ffd0f153c0001d1b556,long-island-city,,all/5c623ffd0f153c0001d1b556__long-island-city.png,,ok,
59,Madison Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384f0cb5baf0001a11b43?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384f0cb5baf0001a11b43,madison-avenue-bid,,all/5ca384f0cb5baf0001a11b43__madison-avenue-bid.png,,ok,
